EnterLogin;123123123123Введите имя пользователя
Ndvi_среднее;Ndvi среднее
Авторизация;Авторизация
Агрономическая;Агрономическая
Азот;Азот
Введите_дату_сева;Введите дату сева
Введите_дату_уборки;Введите дату уборки
Внесено_удобрений;Внесено удобрений
Вопрос_по_плану;"Применить план с удалением существующих операций?
							Да - все существующие операции будут удалены (включая подоперации и осмотры) и добавлены операции из технологической карты.
							Нет - операции из технологической карты и существующие будут объеденины."
Вы_хотите_удалить_транспортное_средство;Вы уверены, что хотите удалить транспортное средство?
Выберете_технологическую_карту;Выберите технологическую карту
Выполнено;Выполнено
Гос_номер;Гос.номер
Да;Да
Добавить_операцию;Добавить операцию
Добавить_фото;Добавить фото
Долгосрочный_прогноз;Долгосрочный прогноз
Идентификатор_геоаналатики;Идентификатор геоаналатики
Изображение;Изображение
Информация_о_транспортном_средстве;Информация о транспортном средстве
Информация_об_объекте;Информация об объекте
Калий;Калий
Кальций;Кальций
кг_га;кг/га
Кодировка;Кодировка
л;л
Логотип;Логотип
Магний;Магний
Микроэлементы;Микроэлементы
Модель;Модель
Мощность_гумусного_горизонта;Мощность гумусного горизонта
Мощность_гумусного_горизонта_не_является_допустимым;Мощность гумусного горизонта не является допустимым
Мощность_пахотного_горизонта;Мощность пахотного горизонта
Мощность_пахотного_горизонта_не_является_допустимым;Мощность пахотного горизонта не является допустимым
Название_участка;Название участка
Нет;Нет
Номер;Номер
Номер_поля;Номер поля
Номер_терминала;Номер терминала
Общая;Общая
Планируемое_использование;Планируемое использование
Подтверждение_действия;Подтверждение действия
Применить;Применить
Продолжительность_днях;Продолжительность(в днях):
Производитель;Производитель
Расчетная;Расчетная
Сельскохозяйственные_операции;Сельскохозяйственные операции
Сера;Сера
Среднее_значение_Ndvi_индекса;Среднее значение Ndvi индекса
Средства_защиты_растений;Средства защиты растений
Текущая_погода_и_краткосрочный_прогноз;Текущая погода и краткосрочный прогноз
Тип_терминала;Тип терминала
Тип_ТС;Тип ТС
Фактическая;Фактическая
Фактическое_использование;Фактическое использование
Фосфор;Фосфор
фото_по_умолчанию;фото по умолчанию
Обнаружил;Обнаружил
Тип_объекта;Тип объекта
cкачать;cкачать
Введите_дату;Введите дату
Дата_обнаружения;Дата обнаружения
Действие;Действие
Добавление_нового_объекта;Добавление нового объекта
Заголовок;Заголовок
Загрузить_фото;Загрузить фото
кб;кб
Обрабатываемая_площадь_вне_кадастрового_участка;Обрабатываемая площадь вне рамок кадастрового земельного участка(га)
Обрабатываемая_площадь_кадастрового_участка;Обрабатываемая площадь в рамках кадастрового земельного участка(га)
Обработка_почвы;Обработка почвы
Площадь_без_обработки;Площадь без обработки, га
размер;размер
Сведения_о_кадастрах;Сведения о кадастрах
Сведения_о_поле;Сведения о поле
Тип_обнаруженного_объекта;Тип обнаруженного объекта
Файл;Файл
Cмещение_шарнира_от_точки_крепления_антенны;Cмещение шарнира от точки крепления антенны.
Адрес;Адрес
архив;архив
Балл_бонитета_должен_быть_больше;Балл бонитета должен быть больше {1}
Болезни;Болезни
Болезни_растений;Болезни растений
Бор;Бор
Ваш_снимок_успешно_загружен;Ваш снимок успешно загружен!
Введите_заголовок;Введите заголовок
Введите_номер;Введите номер
Введите_номер_участка;Введите номер участка
Введите_производителя;Введите производителя
Вид_права;Вид права
Вид_права_на_земельный_участок;Вид права на земельный участок
Вид_угодья;Вид угодья
Вредители;Вредители
Вы_можете_загружать_снимки_следующих_форматов;Вы можете загружать снимки следующих форматов
Вы_точно_хотите_пересчитать_все_кадастры;Вы точно хотите пересчитать все кадастры?
Вы_точно_хотите_удалить_все_кадастры;Вы точно хотите удалить все кадастры?
Вы_уверены_что_хотите_удалить_болезнь;Вы уверены, что хотите удалить болезнь?
Вы_уверены_что_хотите_удалить_клиента;Вы уверены, что хотите удалить клиента? Это может привести к удалению записей о полях.
Вы_уверены_что_хотите_удалить_культуру;Вы уверены, что хотите удалить культуру?
Вы_уверены_что_хотите_удалить_орудие;Вы уверены, что хотите удалить орудие?
Вы_уверены_что_хотите_удалить_подразделение;Вы уверены, что хотите удалить подразделение? Это может привести к удалению записей о полях.
Вы_уверены_что_хотите_удалить_предшественника;Вы уверены, что хотите удалить предшественника?
Вы_уверены_что_хотите_удалить_сорт;Вы уверены, что хотите удалить сорт?
Вы_уверены_что_хотите_удалить_тип_пользователя;Вы уверены, что хотите удалить тип пользователя?
Вы_уверены_что_хотите_удалить_удобрение;Вы уверены,что хотите удалить удобрение?
Выберите_Орудие;Выберите Орудие
Выберите_ТС;Выберите ТС
Главная_страница;Главная страница
Гранулированное;Гранулированное
Грузовая_техника;Грузовая техника
Данные_успешно_изменены;Данные успешно изменены.
Дата_договора;Дата договора
Дата_загрузки;Дата загрузки
Дата_и_время_создания_снимка;Дата и время создания снимка
Дата_окончания_договора;Дата окончания договора
дата_основного_договора;№ и дата основного договора
Движение_без_плана;Движение без плана
Для_загрузки_снимков_данного_формата_укажите;Для загрузки снимков данного формата укажите
Для_найденной_подоперации_обновление_не_требуется;Для найденной подоперации обновление не требуется
Добавить_параметр;Добавить параметр
Дополнительная;Дополнительная
другой_обычно;другой - обычно
Железо;Железо
Жидкое;Жидкое
Заболевания_почвы;Заболевания почвы
Загрузить_кадастровые_кварталы;Загрузить данные
Загрузить_снимок_с_компьютера;Загрузить снимок с компьютера
Значение_имени_атрибута_не_может_быть_пустым;Значение имени атрибута не может быть пустым!
Идентификатор_не_найден;Идентификатор не найден
или;или
Импорт_полей;Импорт полей
Имя_файла_не_может_быть_пустым;Имя файла не может быть пустым
Информация_о_заболевании_почвы;Информация о заболевании почвы
Информация_о_заболевании_растений;Информация о заболевании растений
Информация_о_клиенте;Информация о клиенте
Информация_о_культуре;Информация о культуре
Информация_о_подразделении;Информация о подразделении
Информация_о_сорте;Информация о сорте
Информация_о_типе_пользователя;Информация о типе пользователя
Информация_об_орудии;Информация об орудии
Информация_об_удобрении;Информация об удобрении
Исп;Исп
Исполнители;Исполнители
Кадастровая_площадь;Кадастровая площадь
Кадастровая_стоимость;Кадастровая стоимость
Форма_собственности;Форма собственности
Уточненная_площадь;Уточненная площадь
Кадастровый_квартал;Кадастровый квартал
Кадастровый_номер;Кадастровый номер
Кадастровый_номер_участка;Кадастровый номер участка
Карточка_участка;Карточка участка
Каталоги;Каталоги
Категории;Категории
кв_м;кв.м.
кВт;кВт
Клиент;Клиент
Клиенты;Клиенты
Количество_долей;Количество долей
Комбайн;Комбайн
Культуры;Культуры
Лучшие;Лучшие
Максимально_допустимый_размер_файла;Максимально допустимый размер файла {0} кб
Марганец;Марганец
Медь;Медь
Местоположение;Местоположение
Молибден;Молибден
Мощность_гумусного_горизонта_должна_быть_больше;Мощность гумусного горизонта должна быть больше {1}
Мощность_пахотного_горизонта_должна_быть_больше;Мощность пахотного горизонта должна быть больше {1}
Глубина_посева_должна_быть_больше;Глубина посева должна быть больше {1}
Междурядье_должно_быть_больше;Междурядье должно быть больше {1}
Густота_должна_быть_больше;Густота должна быть больше {1}
Норма_высева_должна_быть_больше;Норма высева должна быть больше {1}
Название_вредителя_совпадает_с_существующим;Название вредителя совпадает с существующим!
Название_заболевания_почвы;Название заболевания почвы
Название_заболевания_растений;Название заболевания растений
Название_клиента;Название клиента
Название_культуры;Название культуры
Название_отделения_филиала;Название отделения/ филиала
Название_подразделения;Название подразделения
Название_снимка;Название снимка
Название_удобрений;Название удобрений
Наименование;Наименование
Наименование_должно_быть_уникальным;Наименование должно быть уникальным
Наименование_кадастра;Наименование кадастра
Наименование_клиента_обязательно_для_заполнения;Наименование клиента обязательно для заполнения
Наименование_обязательно_для_заполнения;Наименование обязательно для заполнения
Наименование_слоя_обязательно_для_заполнения;Наименование слоя обязательно для заполнения
Настройка_импорта_полей;Настройка импорта полей
Настройка_отображения_элементов;Настройка отображения элементов
Настройка_таблицы_на_главной;Настройка таблицы на главной
Настройки_отображения;Настройки отображения
Не_указано;Не указано
Недопустимые;Недопустимые
Необходимо_ввести_дату_и_время_создания_снимка;Необходимо ввести дату и время создания снимка
Необходимо_ввести_название_снимка;Необходимо ввести название снимка
Необходимо_выбрать_файл;Необходимо выбрать файл
Нерациональные;Нерациональные
Никель;Никель
Номер_договора;Номер договора
Область_край_Республика;Область / край / Республика
Описание;Описание
Описание_обязательно_для_заполнения;Описание обязательно для заполнения
Описание_снимка;Описание снимка
Опрыскиватель;Опрыскиватель
Организация_правообладатель;Организация правообладатель
Органическое;Органическое
Орудия;Орудия
Основная;Основная
Отказано_в_доступе;Отказано в доступе
Отображать;Отображать
Отображать_пин_объекта;Отображать пин объекта
ошибка_нестабильностью_геосервера;К сожалению, при загрузке произошла ошибка. Попробуйте загрузить ещё раз.
Пиктограмма;Пиктограмма
Площадь_долей;Площадь долей
Подтвердите_действие_удаление;Подтвердите действие удаление
Показать_все;Показать все
Пользователи;Пользователи
Правоподтверждающий_документ;Правоподтверждающий документ
Правоустанавливающий_документ;Правоустанавливающий документ
Прикрепите_файл;Прикрепите файл
Прикрепите_фото;Прикрепите фото
Примечание;Примечание
Прозрачность_может_иметь_значение;Прозрачность может иметь значение от {0} до {1}
Пунктирная;Пунктирная
Пустой_файл;Пустой файл
Работает;Работает
Район;Район
Расход_воды;Расход воды
Расход_топлива;Расход топлива
Расход_электричества;Расход электричества
Расчетная_кадастровая_площадь;Расчетная кадастровая площадь
Рис;Рис
Сельскохозяйственная_операция;Сельскохозяйственная операция
Системная_категория;Системная категория
Смещение_центра_агрегата_от_шарнира;Смещение центра агрегата от шарнира.
Собственник;Собственник
содержащий_файлы_снимка;содержащий файлы снимка
Сорта_культуры;Сорта культуры
Состав;Состав
Список_объектов_фитоанализа;Список объектов фитоанализа
Список_подразделений;Список подразделений
Сплошная;Сплошная
Срок_аренды;Срок аренды
Стиль;Стиль
Стоянка;Стоянка
Такая_культура_уже_есть_в_списках;Такая культура уже есть в списках
Такоe_химическое_средство_уже_есть_в_списке;Такоe химическое средство уже есть в списке
Такой_исполнитель_уже_есть_в_списке;Такой исполнитель уже есть в списке
Такой_сорт_семян_уже_есть_в_списке;Такой сорт семян уже есть в списке
Телефон;Телефон
Технологические_карты;Технологические карты
Тип_орудия;Тип орудия
Толщина_линии_может_иметь_значение;Толщина линии может иметь значение от {0} до {1}
Топливозаправщик;Топливозаправщик
Транспортное_средство;Транспортное средство
Транспортные_средства;Транспортные средства
Удалить_все;Удалить все
Укажите_пользователя;Укажите пользователя
Управление_пользователями;Управление пользователями
Урожайность_должна_быть_больше;Урожайность должна быть больше {1}
Учтенный_кадастровый_номер;Учтенный кадастровый номер
файл_должен_иметь_расширение;файл должен иметь расширение
Файл_снимка;Файл снимка
Фактическая_площадь;Фактическая площадь
Фактическая_урожайность_должна_быть_больше;Фактическая урожайность должна быть больше {1}
Фактически;Фактически
Формат_снимка;Формат снимка
Форматы_загруженных_снимков;Форматы загруженных снимков
Хлор;Хлор
Цветовые_схемы;Цветовые схемы
Цинк;Цинк
Ширина;Ширина
Штрих_пунктирная;Штрих-пунктирная
это_пара_файлов_один_с_расширением;это пара файлов (один с расширением
Юридическая;Юридическая
Значение;Значение
Наземный_осмотр;Осмотр
Базовые_слои;Базовые слои
Загрузить_снимок;Загрузить снимок
Изменение_границ_участка;Изменение границ участка
Индексы;Индексы
Рельеф;Рельеф
Дата_изменения;Дата изменения
Координаты;Координаты
Кто_изменил;Кто изменил
Площадь_до_изменения;Площадь до изменения
Площадь_после_изменения;Площадь после изменения
Данные_мониторинга;Данные мониторинга
Водитель;Водитель
Время_стоянок;Время стоянок, ч
км;км
Общее_время_движения;Общее время движения
Общий_расход_топлива;Общий расход топлива
Площадь_перекрытий;Площадь перекрытий
Расход_топлива_на_гектар;Расход топлива на гектар
Сделанная_работа;Сделанная работа
км_ч;км/ч
Долгосрочное_планирование;Долгосрочное планирование
Количество_операций;Количество операций
Показать_план;Показать план
Планирование;Планирование
Оперативное_планирование;Оперативное планирование
Исполнитель;Исполнитель
Аренда;Аренда
Собственность;Собственность
Субаренда;Субаренда
Карта_кадастров;Карта кадастров
Без_документов;Без документов
Больше_10_лет;Больше 10 лет
Меньше_3_месяцев;Меньше 3 месяцев
От_1_до_3_лет;От 1 до 3 лет
От_3_до_10_лет;От 3 до 10 лет
От_3_месяцев_до_1_года;От 3 месяцев до 1 года
Отчет_о_работе_машин_по_дням;Отчет о работе машин по дням
Отчет_о_работе_машин_по_часам;Отчет о работе машин по часам
Итого;Итого
c;c
по;по
Рейтинг;Рейтинг
снимок;снимок
Снимок_успешно_удалён;Снимок успешно удалён
Импорт_данных_из_ANT;Импорт данных из ANT
Импорт_данных;Импорт данных
Импорт_операций_из_Cropio;Импорт операций из Cropio
Данные_успешно_импортированы;Данные успешно импортированы
Данные_успешно_обновлены;Данные успешно обновлены
Тип_данных;Тип данных
Cеялка;Cеялка
копия;копия
Борона;Борона
Бункер;Бункер
Бункер_перегрузчик;Бункер перегрузчик
Глубокорыхлитель;Глубокорыхлитель
Грейдер;Грейдер
Другой;Другой
Жатка;Жатка
Каток;Каток
Компактор;Компактор
Культиватор;Культиватор
Мульчировщик;Мульчировщик
Обработка_травы;Обработка травы
Плуг;Плуг
Погрузчик;Погрузчик
Пресс_подборщик;Пресс-подборщик
Разбрасыватель;Разбрасыватель
Тележка;Тележка
Прицеп;Прицеп
Севооборот_на_карте;Севооборот на карте
Структура_посевных_площадей_расширенная;Структура посевных площадей (расширенная)
Последняя_точка;Последняя точка
Количество_на_складе;Количество на складе
Не_учитывать_при_планировании;Не учитывать при планировании
Остаток_на_складе;Остаток на складе
Объекты;Объекты
Значение_должно_быть_неотрицательным;Значение должно быть неотрицательным
Значение_должно_быть_числом;Значение должно быть числом
Значение_не_может_быть_меньше;Значение не может быть меньше, чем
Список_триггеров;Список триггеров
Температура_до;Температура до
Требуется_хотя_бы_одно_значение;Требуется хотя бы одно значение
Триггеры_тревог;Триггеры тревог
Активен;Активен
Баланс_смс;Баланс СМС
Включён;Включён
Выберете_тип_тревоги;Выберите тип тревоги
Далее;Далее
Имя_триггера;Наименование триггера
Максимальная_скорость;Максимальная скорость
Оповещаемые_пользователи;Оповещаемые пользователи
Оповещение;Оповещение
Отключён;Отключён
Пополнить;Пополнить
Расписание;Расписание
Состояние;Состояние
Сумма;Сумма
Температура_от;Температура от
Тип_тревоги;Тип тревоги
триггер_тревоги;триггер тревоги
Полигон;Полигон
Последовательность_линий;Последовательность линий
