Все_участки;"All areas of the enterprise "
Всего;Total
Всего_прямые_затраты;All direct expenses
Вставить_ландшафт;Insert_landscape
Всходы;Standing
Вт;Tue
Вход;Entry
Вчера;Yesterday
Вы_можете_загружать_снимки_следующих_форматов;You can upload photos in the following formats
Вы_точно_хотите_пересчитать_все_кадастры;Are you sure you want to recalculate all the cadastres?
Вы_точно_хотите_удалить_все_кадастры;Are you sure you want to delete all the cadastres?
Вы_уверены_удалить;Delete fields for all seasons? (yes/no)
Вы_уверены_что_хотите_удалить_АХО;Are you sure you want to delete ACE?
Вы_уверены_что_хотите_удалить_болезнь;Are you sure you want to delete the disease?
Вы_уверены_что_хотите_удалить_вредителя;Are you sure that want to delete the vermin?
Вы_уверены_что_хотите_удалить_все_операции;Are you sure that want to remove all operations?
Вы_уверены_что_хотите_удалить_запись;Are you sure you want to delete the post?
Вы_уверены_что_хотите_удалить_кадастр;Are you sure you want to delete the cadastre
Вы_уверены_что_хотите_удалить_клиента;Are you sure you want to delete the client? This action may remove all field records
Вы_уверены_что_хотите_удалить_культуру;Are you sure you want to delete the crop?
Вы_уверены_что_хотите_удалить_нормативы_расценки;Are you sure you want to delete services valuation?
Вы_уверены_что_хотите_удалить_операцию;Are you sure you want to delete the operation
Вы_уверены_что_хотите_удалить_орудие;Are you sure you want to delete the tool?
Вы_уверены_что_хотите_удалить_подразделение;Are you sure you want to delete the unit? This action may remove all field records
Вы_уверены_что_хотите_удалить_подтип_операции;Are you sure you want to delete the sub-operation?
Вы_уверены_что_хотите_удалить_показатель;Are you sure you want to delete the indicator?
Вы_уверены_что_хотите_удалить_предшественника;Are you sure you want to delete the predecessor?
Вы_уверены_что_хотите_удалить_сорняк;Are you sure that want to delete the weed?
Вы_уверены_что_хотите_удалить_сорт;Are you sure you want to delete the sort?
Вы_уверены_что_хотите_удалить_тип_пользователя;Are you sure you want to delete the type of user?
Вы_уверены_что_хотите_удалить_точку_отбора_проб;Are you sure that want to delete point of sample collection?
Вы_уверены_что_хотите_удалить_удобрение;Are you sure you want to delete the ferilizer?
Вы_хотите_пересчитать;Are you sure you want to recalculate all the fields?
Вы_хотите_удалить_взвешивание_транспортного_средства;"Are you sure you want to delete the vechile weighting? "
Вы_хотите_удалить_подтип_операции;Do you want to delete the sub-operation?
Вы_хотите_удалить_пользователя;Are you sure you want to delete the user?
Вы_хотите_удалить_роль;Do you want to delete the role?
Вы_хотите_удалить_транспортное_средство;Are you sure you want to delete the vehicle?
Вы_хотите_удалить_цветовую_схему;Are you sure you want to delete the color scheme?
Выберете_технологическую_карту;Please choose the technological map
Выберете_тип_тревоги;Please select the alert type
Выберите;Select
Выберите_ахо;Select agro chemical investigation
Выберите_исполнителя;Please choose an executor
Выберите_кампанию;Select campaign
Выберите_модель;Choose a model
Выберите_Орудие;Please choose a tool
Выберите_показатель;Select indicator
Выберите_поставщика_метеостанций;Select weather station vendor
Выберите_причину;Select reason
Выберите_причину_тревоги;Select alert reason
Выберите_производителя;Choose a manufacturer
Выберите_роль;Select role
Выберите_семена;Please choose variety
Выберите_сзр;Please select soil protection
Выберите_тип_поставщика;Select vendor type
Выберите_ТС;Please select a vehicle
Выберите_удобрение;Please select a fertilizer
Выберите_хотя_бы_одно_поле;Select at least one field
Выберите_хотя_бы_одну_заправку;Select at least one fueling
Выберите_хотя_бы_одну_строку;Please select at least one row
Выбранные_заправки_успешно_подтверждены;The selected fuelings have been successfully verified
выбранный;selected
Выбрать;Choose
Выбрать_все;Select all
Выбрать_из_вариантов;You can choose one of the following options
Выбрать_культуру;Select crop
Выбрать_файл;Choose {0} file
Выбрать_файл_ы;Choose {0} file(s)
Выбрать_фото;Choose photo
Вывез;Export
Выгрузка_из_бункеров_перегрузчиков;Unloading from reloaders
Выгрузка_из_комбайнов;Unloading from harvesters
выданного;issued
Выделять_давние_тревоги_без_причины;Highlight old alerts with no reason
Выключить_все;Turn everything off
Выписка_из_реестра_о_намолоте_зерна_и_убранной_площади;Extract from the register of threshing. SP-10
Выполнен;Done
Выполнено;Completed
Выполнить;Perform
Выполнить_проверку_выполнения_операций;"Check operations "
Выполнить_сопоставление_идентификаторов_мониторинга;Perform Monitoring IDs Mapping
Выполняемые;Running
Выполняется;Running
Высокая;High
Высокая_вегетация;High Vegetation
Высокая_средняя;Middle high
Высокая_средняя_вегетация;Middle High Vegetation
Высокий;High
Высокое;High
Выход;Exit
Выявлена_необходимость_списания_ТМЦ;The need for the write-off of inventories has been identified
Выявлена_необходимость_списания_ТМЦ_для_операций_0;The need for the write-off of inventories has been identified for operations: {0}
га;ha
гектары;hectares
Геозона;Geofence
Гербицид;"Herbicide "
Гидролитическая_кислотность;Water Acid
ГЛАВНАЯ;Main
Главная_страница;Main page
Глубина_заделки;Depth of setting
Глубина_посева;Sowing depth
Глубина_посева_должна_быть_больше;Sowing depth should be more than {1}
Глубокорыхлитель;Chisel
Год;Year
Гос_номер;State number
Гранулированное;Granular
Грейдер;Grader
Грузовая_техника;Cargo technics
Группа_полей;Field Groups
Группа_складов;Group of stock
Группировать;Group
Группировать_по;Group by
Группировать_по_типам_операций;Group by operation type
Группировать_смены_в_одну_строку;Group shifts into one line
Группировка_для_принятия_решения;Grouping to make a decision
Группы_складов;Stock groups
ГСМ;Fuel
Гумус;Humus
Густота;Thickness
Д;Long
Да;Yes
Давление;Pressure
Далее;Next
Данные;Data
Данные_1С;Data 1C
Данные_мониторинга;Monitoring data
Данные_с_заданными_параметрами_уже_отображены_на_графике;Data with specified parameters are already displayed on the chart
Данные_успешно_изменены;The data was successfully changed.
Данные_успешно_обновлены;The data was successfully updated.
Данные_успешно_импортированы;Data imported successfully
Данный_простой_разделить_нельзя;This idle cannot be splitted
данным;data
Дата;Date
Дата_добавления;Upload date
Дата_договора;The contract date
Дата_завершения_операции;The date of completing the operation
Дата_загрузки;The date of uploading
Дата_и_время_создания_снимка;The date and time of creating an image
Дата_изменения;Change date
Дата_истечения_временного_характера_сведений_о_ЗУ;Expiration date of temporary information on land
Дата_начала_операции;The date of starting the operation
Дата_обнаружения;The date of finding
Дата_окончания_договора;Contract expiration date
Дата_окончания_лицензии;License end date
дата_основного_договора;№ and date of the main contract
Дата_по;Date until
Дата_постановки_на_учет;Date of registration (date of registration of the number in the State Property Committee)
Дата_постановки_на_учет_по_документу;Document registration date (for previously registered sites)
Дата_появления_всходов;Standing date
Дата_прекращения_существования;Termination date (date of deregistration)
Дата_рождения;Birthday
Дата_с;Date from
Дата_сева;Sowing date
Дата_создания_запроса;Request Creation Date
Дата_уборки;Harvesting date
Датчики;Sensors
Даты_операции;Operation dates
Два_настоящих_листа;2 real leaves
Движение_без_плана;Movement without plan
Действие;Action
Декабрь;December
Деление_участка;Division of the field section
День_планирования;Planning day
Диагональные_полосы;Diagonal stripes
Диапазон_по;Range to
Диапазон_с;Range from
Дискатор;Disk
Дифференцированное_внесение_семян;Differentiated seed application
Дифференцированное_внесение_СЗР;Differentiated application of NWP
Дифференцированное_внесение_удобрений;Differentiated fertilization
Дифференцированное_внесение;Differentiated introduction
Длина_растений;Length of plants
Длина_строки_не_должна_превышать_;The length of the string must not exceed {1}
Для_всех_клиентов;Shared for all clients
Для_загрузки_снимков_данного_формата_укажите;To upload the images in this format please enter
Для_найденной_подоперации_обновление_не_требуется;Found sub-operation does not need to be updated
Для_подоперации_должна_быть_задана_операция;An operation must be specified for the unit
Для_участка;for field section
для_просмотра_ошибок_шелкните_на_имени_файла;to view the errors, click the file name
Для_указанных_модели_ТС_модели_орудия_и_причины_норматив_уже_существует;The normative for specified machine model, agroinstrument model and reason already exists
Для_указанных_ТС_орудия_и_причины_норматив_уже_существует;The normative for specified machine, agroinstrument and reason already exists
дней;days
До;Till
Добавил;Who added
Добавить;Add
Добавить_амортизацию_машины;Add amortization for a machine
Добавить_амортизацию_орудия;Add amortization for an instrument
Добавить_АХО;Add ACE
Добавить_датчик;Add sensor
Добавить_операцию;Add an operation
Добавить_осмотр;Add inspection
Добавить_параметр;"Add a parameter "
Добавить_подоперацию;Add suboperation
Добавить_таблицу;Add table
Добавить_точку;Insert point
Добавить_фильтр;Add filter
Добавить_фото;Add a photo
Добавление_амортизации;Add amortization
Добавление_вредителя;Add a pest
Добавление_кампании;Add campaign
Добавление_маршрута;Adding a route
Добавить_модель;Add Model
Добавление_нового_объекта;Add a new object
Добавление_нового_отчета;Add a new report
Добавление_операции;Adding of an operation
Добавить_производителя;Add Manufacturer
Добавление_СЗР;Adding of pesticide
Добавление_сорняка;Add weed
Добавление_технологической_карты;Adding of a technological map
Договор_аренды;Lease contract
Договора_аренды;Lease contracts
докупить;buy
Долгосрочная_аренда;Long-term rental
Долгосрочное_планирование;Long-term planning
Долгосрочный_прогноз;Long-term forecast
Дольше_чем;Longer than
Домашняя_страница;Home page
Дополнительная;Additional
Дополнительная_информация;Additional info
Дополнительная_оплата_за_качество_и_сроки_руб;Additional payment for quality and terms, rub
Дополнительные_параметры;Additional options
Дополнительные_параметры_фильтрации;Additional filtering options
Доступ;Access
Доступно;Enabled
Другое;Other
Другой;Other
другой_обычно;Other - usually
ед;units
единицу;unit
Единицы_измерения;Units of measure
Жатка;Reaper
Железо;Ferrum
Жидкое;Liquid
Животноводство;Animal husbandry
Жилье;Housing
Журнал_запросов;Query log
за;for
Заболевания_почвы;Soil diseases
Завершен;Completed
Завершена;Completed
Завершена_вручную;Completed manually
Завершенные;Completed
Завтра;Tomorrow
Заголовок;Headline
Загружается;Uploading
Загружается_снимок;Load image
Загруженные_снимки;Uploaded images
Загрузите_фото;Upload a photo and we will recognize the crop and its density, as well as weeds and other problems
Загрузить;Upload
Загрузить_NDVI;Download NDVI
Загрузить_внутреннюю_геометрию;Download internal geometry
Загрузить_изображения;Upload images
Загрузить_историю_погоды;Download meteo history
Загрузить_кадастровые_кварталы;Upload data
Загрузить_координаты;Download coordinates
Загрузить_участки;Upload field sections
Загрузить_снимок;Upload image
Загрузить_снимок_с_компьютера;Upload an image from computer
Загрузить_файл;Upload a file
Загрузить_фото;Upload a photo
Загрузка_кадастров;Load cadastres
Загрузка_кадастров_из_0;"Load cadastres from ""{0}"""
Загрузка_полей;Fields load
Загрузка_справочников;Downloading directories
заданием;job
Задания;Tasks
Закрытие_операции;The closure of the operation
Закрытый_ключ;Private key
Закрыть;Close
Закупка;Purchase
Заливка;Priming
Занято_другим_пользователем;Busy by another user
Запись;Write
Запланированные;Planned
Запланированный_сбор_урожая;Planned harvest
Запланировано;Scheduled
Заполнить_справочники;Fill in the directories
Заполнять_данные_из_операций;Fill_data_of_operations
Запомнить_выбор;Remember the choice
заправки;fueling
заправщика;tanker
Запрос_к_службе_успешно_сформирован;The request to the service successfully created
Запрос_к_службе_не_содержит_участков;The request to the service does not contain fields. The display setting for the Precision Agriculture element may not be set
Зарплата;Salary
Затраты;Consumption
Затраты_воды_на;Consumption of water for
Затраты_топлива_на;Consumption of fuel for
Затраты_труда_чел_час;Labor costs, person per hour
Затраты_энергии_на;Consumption of energy for
земель;lands
земельного_участка;land
Значение;Value
Значение_должно_быть_больше;Value must be greater than
Значение_должно_быть_меньше;Value must be less than
или_равно;or equal
Значение_должно_быть_неотрицательным;The value must be non-negative
Значение_должно_быть_числом;The value must be a number
Значение_имени_атрибута_не_может_быть_пустым;The value of the the attribute name cannot be empty!
Значение_не_может_быть_меньше;This value can not be less than
Зоны_вегетации;Zones of vegetation
Зоны_неоднородности;Heterogeneity zones
и;and
Идентификатор_геоаналатики;Identificator of geoanalitics
Идентификатор_из_1С;ID from 1C
Идентификатор_не_найден;Identificator is not found
из;of
Из_производства;From manufacture
Изменение;Change
Изменение_амортизации;Change Amortization
Изменение_вредителя;Changing pest
Изменение_границ_участка;Change the field section boundary
Изменение_кампании;Change campaign
Изменение_операции;Change operation
Изменение_ролей_по_умолчанию;Change default roles
Изменение_СЗР;Change pesticide
Изменение_сорняка;Change weed
Изменение_текущего_клиента;Change current client
Изменение_технологической_карты;Change map
Изменить;Change
Изменить_исполнителя;Change executer
Изменить_орудие;Change instrument
Изменить_тип_операции;Change treatment
Изображение;Image
Израсходовано_топлива;The amount of fuel used
или;or
Имаго;Imago
Импорт_данных;Import data
Импорт_данных_из_ANT;Import data from ANT
Импорт_из_ANT;Import from ANT
Импорт_операций_из_Cropio;Import operations from Cropio
Импорт_полей;Import of the fields
Имя;Name
Имя_участка;Field section name
Имя_триггера;Trigger name
Имя_файла_не_может_быть_пустым;Name of the file cannot be empty
Инвентарный_номер;Inventory number
Индекс_NDVI;Index NDVI (30 feet)
Индексы;Indices
Инкубационный_период;Incubation period
ИНН;INN
Иное;Other
Инсектецид;Insecticide
Инструкция_по_применению_СЗР;Instructions for use of the soil protections
Интервал_пиковой_нагрузки;Interval of peak load
инфекционная;infectious
информацию;information
Информация;Information
Информация_о_взвешивании_транспортного_средства;"Vehicle weight information "
Информация_о_заболевании_почвы;Soil disease inforamtion
Информация_о_заболевании_растений;Plant disease information
Информация_о_клиенте;Client information
Информация_о_культуре;Crop information
Информация_о_подразделении;Unit information
Информация_о_пользователе;User inforamtion
Информация_о_роли;Role information
Информация_о_сорте;Sort information
Информация_о_типе_операции;Operation information
Информация_о_типе_пользователя;Information about the type of user
Информация_о_транспортном_средстве;Vehicle information
Информация_о_цветовой_схеме;Information about the color scheme
Информация_об_объекте;Object information
Информация_об_орудии;Tool information
Информация_об_осмотре_участка;Field section inspection information
Информация_об_удобрении;Fertilizer information
Инфраструктура;Infrastructure
Исп;Use
Исполнители;Executives
Исполнитель;Executor
Использовать;Use
Используемые_семена;The seeds used
Используемые_химические_средства;The chemicals used
История_изменения_права_собственности;History change of ownership
Источник_инфекции;Infection source
Исходные_координаты;Initial coordinates
Исходный_XML_документ;Source XML document
Итого;Total
Итого_затрат;All expenses
Июль;July
Июнь;June
к;to
К20_Мачигин;Machigin exchange (K20)
Кадастр;Cadastre
Кадастр_загружен;Cadastre uploaded
Кадастр_не_загружался;Cadastre not uploaded
Кадастровая_карта;Cadastral map
Кадастровая_площадь;Cadastral area
Кадастровая_стоимость;Cadastral cost
Форма_собственности;Form of ownership
Уточненная_площадь;Specified area
Кадастровые_номера_всех_земельных_участков_образованных_из_данного_земельного_участка;Cadastral numbers of all land plots formed from this land plot (line 18.2)
Кадастровые_номера_зданий_сооружений_объектов_незавершенного_строительства;Cadastral numbers of buildings, structures, construction in progress, located on the land (information GKN)
Кадастровые_номера_земельных_участков_из_которых_образован_данный_участок;Cadastral numbers of the land plots from which this plot is formed
Кадастровый_квартал;Cadastral quarter
Кадастровый_номер;Cadastral number
Кадастровый_номер_участка;Cadastral number of the plot
КАДАСТРЫ;Cadastres
Калий;Potassium
Кальций;Calcium
Кальций_обменный;Calcium (exchangeable)
Карта;Map
Карта_агрохимического_анализа;Agrochemical analysis map
Карта_агрохимического_анализа_группы;Agrochemical analysis map (groups)
Карта_анализа_плодородия;Fertility analysis map
Карта_дифференцированного_внесения;Differentiated addition map
Карта_кадастров;Cadasters map
Карта_контрастного_NDVI;Contrast NDVI map
Карта_нормального_NDVI;Normal NDVI map
Карта_планового_внесения;Plan admission map
Карта_урожайности;Productivity map
Карта_фактического_внесения;Fact admission map
Карта_фактического_внесения_группы;Fact addmission map (groups)
Карточка_участка;The field section card
Каталоги;Catalogs
Категории;Categories
Категория;Category
Каток;Rink
кб;LB
кв_м;sq.m.
кВт;Watts
кг;kg
кг_га;LB/ACRE
Килограммы;Pounds
Кислая;Sour
Класс_опасности_для_пчел;Bee hazard class
Класс_опасности_для_человека;Hazard class for humans
Кластер;Cluster
Кластера;Clusters
Клиент;Client
Клиенты;Clients
кликните_для_выбора_на_компьютере;click to select on the computer
км;km
КМ_АЗС;LB AZS
км_ч;km/h
Код_метеостанции_в_системе_поставщика;Station code by vendor
Кодировка;Encoding
Кол_во;Number
Количество;Number
Количество_активного_действуюшего_вещества;Active substance quantity
Количество_бункеров;Count of bins
Количество_долей;Number of shares
Количество_дочерних_элементов;Child elements count
Количество_импульсов_на_литр;Pulse on litre count
Количество_интервалов;Intervals count
Количество_на_складе;Quantity in stock
Количество_нормосмен_в_объеме_работы;Shifts count in work volume
Количество_операций;Operations count
Количество_осмотров;Inspection count
Количество_проб;Sample count
Количество_продуктивных_стеблей_кв_м;Count of productive stalks by square foot
Количество_продуктивных_стеблей_погон_м;Count of productive stalks by running foot
Количество_растений_кв_м;Count of plants by square foot
Количество_растений_погон_м;Count of plants by running foot
Количество_слитого_топлива;Max defuelling value, gallons
Количество_циклов_должно_быть_минимум;The number of series must be at minimum {1}
Количество_циклов_должно_быть_не_меньше;The number of series must be at minimum {0}
Комбайн;Combine-harvester
Комбайнер;Combiner
Комментарий;Comment
Компактор;Сompactor
Конец;End
Конец_рабочего_дня;End of working day
Конечный_уровень_корр;The final level of corr.
Контролирующий;Supervisor
Контроль_GPS_в_мобильном_приложении;GPS monitoring in a mobile application
Контроль_маршрутов;Routes control
Контроль_по_уборке_урожая;Harvest control
Контроль_уборки;Harvest control
Контур_компания;Contur
Координаты;Coordinates
Копирование_завершено_успешно;Copy completed
Копирование_участков;Copying sections
Копировать;Copy
Копировать_для_другой_смены;Copy for other shift
Копировать_осмотр;Copy fitoanalysis
Косилка;Mower
Коэффициент;Ratio
Кран;Crane
Краткосрочная_аренда;Short-term rental
Кратность_обработок;Utilization frequency
Кто_изменил;Who changed
Культиватор;Cultivator
Культура;Crop
Культура_изменена;Crop was changed
Культура_как_ценности_общества;Culture
Культура_предшественник;Crop Predecessor
Культуры;Crops
л;l
л_га;Gallon/acre
л_км;Gallor/miles
л_т;M / h
л_час;Gallon/hour
Легенда;Legend
Легенды_карт;Map legends
Легковая_машина;Passenger Car
Лекарственная_форма;Dosage form
Лекарственная_форма_сокращенно;Dosage form short
Линия;Line
Литры;Gallons
Личинка;Larva
Логин;Login
Логотип;Logo
Лучшие;The best
м;m
м_час;m/h
Магний;Magnesium
Магний_обменный;Magnium
Май;May
Макроэлементы;Macroelements
Макс_температура;Max temperature
Максимальная_норма;The maximum rate
Максимальная_скорость;Max speed
Максимально_допустимое_расстояние;Max distance, m
Максимально_допустимый_размер_файла;The maximum allowable file size {0} kb
Максимальное_время_простоя;Max idle time (minutes)
Максимальное_количество_дней_простоя;Maximum idle days
Максимальный_процент_разницы_показаний;Max percent of difference in readings
Максимум_обработанной_площади;Maximum treated area
Марганец;Marganese
Марка;Brand
Март;March
Маршрут;Route
маршрута;route
Маршруты;RoutesTechnology
мг_кг;mg/lb
Медь;Copper
Междурядье;Row spacing
Междурядье_должно_быть_больше;Row spacing should be more than {1}
Мезоэлементы;Mesoelements
Меньше_3_месяцев;Less than 3 months
Место_взвешивания;Place of weighing
Место_хранения;Storage location
Местоположение;Location
Месяц;Month
Метеостанции;Weather stations
метеостанцию;weather station
Метод_обработки;The processing method
метров;meters
Микроэлементы;Microelements
мин;min
Мин_температура;Min temperature
Минимальная_норма;The minimum rate
Минимальная_площадь_зоны_неоднородности;Heterogeneity zone minimum area
Минимальная_площадь_перегона;Minimum area of distillation
Минимальная_скорость;Min speed
Минимальная_скорость_не_может_быть_больше_максимальной;The minimum speed cannot be greater than the maximum
Минимальное_время_остановки_для_определения_заправки_слива;Minimum stop time for determining the refill/discharge
Минимальное_время_стоянки_мин;Minimum parking time, min
Минимальное_расстояние_перегона;Minimum distance of distillation
Минимальный_объем_заправки;Minimum volume of refill
Минимальный_объем_слива;Minimum amount of discharge
Минимум_обработаной_площади;Minimally processed square(he.)
минут;minutes
мм;mm
моделей;models
модели;models
Модель;Model
Модель_орудия;Instrument model
Модель_ТС;Machine model
Молибден;Molybdenum
Момент;Moment
Мониторинг;Monitoring
Мониторинг_техники;Monitoring Techniques
Мониторинг_топлива;Fuel monitoring
Мощность_гумусного_горизонта;Thickness of the humus horizon
Мощность_гумусного_горизонта_не_является_допустимым;The capacity of the humus horizon is not acceptable
Мощность_гумусного_горизонта_должна_быть_больше;Thickness of humus horizon should be more than {1}
Мощность_пахотного_горизонта;Thickness of the soil horizon
Мощность_пахотного_горизонта_не_является_допустимым;The capacity of the arable horizon is not acceptable
Мощность_пахотного_горизонта_должна_быть_больше;Thickness of the soil horizon should be more than {1}
Мультиполигон;Multipolygon
Мульчировщик;Mulcher
На;On
На_1_ц;On 1 q
На_основании_оперативного_плана;Based on operational plan
Назад;Back
Название;Name
Название_величины_внесения_слева;Left enter value name
Название_величины_внесения_справа;Right enter value name
Название_вредителя;Name of the pest
Название_вредителя_совпадает_с_существующим;Name of the pest matches an existing name!
Название_заболевания_почвы;Name of the soil disease
Название_заболевания_растений;Name of the plant disease
Название_кампании;Nane of campaign
Название_клиента;Name of the client
Название_культуры;Name of the crop
Название_материала;Name of the material
Название_на_английском;Name in english
Название_на_латыни;Latin name
Название_на_русском_языке;Name in russian
Название_обязательно_для_заполнения;Name is obligatory for filling
Название_операции;Name of the operation
Название_орудия;Tool name
Название_орудия_слева;Left device name
Название_орудия_справа;Right device name
Название_отделения_филиала;Name of the department/branch
Название_подразделения;Name of the unit
Название_участка;Name of the field section
Название_поля_датчика;"Sensor field name: "
Название_СЗР_совпадает_с_существующим;Name of the pesticide matches and existing name!
Название_снимка;Name of the photo
Название_сорняка;Weed name
Название_сорняка_совпадает_с_существующим;The name of the weed already exists
Название_средств_защиты_растений;Name of the plant protection product
Название_технологической_карты;Name of the technological map
Название_технологической_карты_совпадает;Name of the technological map matches an existing name!
Название_ТС;Vehicle name
Название_удобрений;Name of the fertilizers
Название_ширины_захвата_слева;Left device width name
Название_ширины_захвата_справа;Right device width name
Наземный_осмотр;Inspection
Назначить;Assign
Наименование;Name
Наименование_должно_быть_уникальным;The name should be unique
Наименование_кадастра;Name of the cadastre
Наименование_клиента_обязательно_для_заполнения;Name of the client is obligatory for filling
Наименование_обязательно_для_заполнения;Name is obligatory for filling
Наименование_организации;Organization name
Наименование_организации_для_удаления;Organization for delete
Наименование_поля;Name of the field…
Наименование_почвы;Name of the soil
Наименование_слоя_обязательно_для_заполнения;Name of the layer is obligatory for filling
Наименование_товара;Name of good
Наименования_датчиков;Sensor names
Накладные_расходы;Overhead costs
Накопительные_данные_за_указанный_период;Total data for the specified period
Накопительные_данные_с_начала_суток;Total data from start of the day
Накопленная_температура_больше_10;Accumulated temperature > 10°
Направление;Direction
Настройка_импорта_полей;Configuration of the fields import
Настройка_отображения_элементов;Configuration of the elements display
Настройка_таблицы_на_главной;Configuration of the table on the main
НАСТРОЙКИ;Configurations
Настройки_мониторинга;Monitoring settings
Настройки_отображения;Configurations of the display
Настройки_успешно_сохранены;Configurations were successfully saved!
Натрий_обменный;Natrium
